Linia	Titulo

8	borrar una tarea sin hacer consulta
9	modificar tarea sin hacer consulta
11	mostrar solamente las comandas futuras despues de 21.04.15
12	borrar todas las etiquetas etiqueta
14-15	añadir y borrar sin hacer consultas de por medio
17	borrar uan tarea
18	modificar una tarea borrada
19	mover el reloj 1 minuto antes
20	mostrar las tareas que no incluyan la tarea del momento actual
21	modificar una tarea del pasado
23	añadir varios tags cuando se modifica
24	comprobar que se han añadido todas las etiquetas y no se han borrado los antiguos
26	consulta de intervalos incorrectos
27	buscar una etiqueta que solo esta en la tarea del pasado
39-30	modificar la hora 2 veces
